"id";"PredictorType";"P";"C";"predictor.eff";"prevy1";"datagen";"datacor";"margp.x";"alpha";"beta";"EPV";"folders"
18;"TypeI";4;0.75;"equal.effect";0.25;"gen.MVNX";0;".";-1.33019753010404;0.517705747347975;50;"main00126"
19;"TypeI";4;0.75;"equal.effect";0.125;"gen.MVNX";0;".";-2.29326602799174;0.504329122155774;3;"main00127"
19;"TypeI";4;0.75;"equal.effect";0.125;"gen.MVNX";0;".";-2.29326602799174;0.504329122155774;5;"main00128"
19;"TypeI";4;0.75;"equal.effect";0.125;"gen.MVNX";0;".";-2.29326602799174;0.504329122155774;10;"main00129"
19;"TypeI";4;0.75;"equal.effect";0.125;"gen.MVNX";0;".";-2.29326602799174;0.504329122155774;15;"main00130"
19;"TypeI";4;0.75;"equal.effect";0.125;"gen.MVNX";0;".";-2.29326602799174;0.504329122155774;20;"main00131"
19;"TypeI";4;0.75;"equal.effect";0.125;"gen.MVNX";0;".";-2.29326602799174;0.504329122155774;30;"main00132"
19;"TypeI";4;0.75;"equal.effect";0.125;"gen.MVNX";0;".";-2.29326602799174;0.504329122155774;50;"main00133"
20;"TypeI";4;0.75;"equal.effect";0.0625;"gen.MVNX";0;".";-3.11060910674394;0.494809944321256;3;"main00134"
20;"TypeI";4;0.75;"equal.effect";0.0625;"gen.MVNX";0;".";-3.11060910674394;0.494809944321256;5;"main00135"
20;"TypeI";4;0.75;"equal.effect";0.0625;"gen.MVNX";0;".";-3.11060910674394;0.494809944321256;10;"main00136"
20;"TypeI";4;0.75;"equal.effect";0.0625;"gen.MVNX";0;".";-3.11060910674394;0.494809944321256;15;"main00137"
20;"TypeI";4;0.75;"equal.effect";0.0625;"gen.MVNX";0;".";-3.11060910674394;0.494809944321256;20;"main00138"
20;"TypeI";4;0.75;"equal.effect";0.0625;"gen.MVNX";0;".";-3.11060910674394;0.494809944321256;30;"main00139"
20;"TypeI";4;0.75;"equal.effect";0.0625;"gen.MVNX";0;".";-3.11060910674394;0.494809944321256;50;"main00140"
21;"TypeI";4;0.75;"half.noise";0.25;"gen.MVNX";0;".";-1.32966956768905;0.734205902343447;3;"main00141"
21;"TypeI";4;0.75;"half.noise";0.25;"gen.MVNX";0;".";-1.32966956768905;0.734205902343447;5;"main00142"
21;"TypeI";4;0.75;"half.noise";0.25;"gen.MVNX";0;".";-1.32966956768905;0.734205902343447;10;"main00143"
21;"TypeI";4;0.75;"half.noise";0.25;"gen.MVNX";0;".";-1.32966956768905;0.734205902343447;15;"main00144"
21;"TypeI";4;0.75;"half.noise";0.25;"gen.MVNX";0;".";-1.32966956768905;0.734205902343447;20;"main00145"
21;"TypeI";4;0.75;"half.noise";0.25;"gen.MVNX";0;".";-1.32966956768905;0.734205902343447;30;"main00146"
21;"TypeI";4;0.75;"half.noise";0.25;"gen.MVNX";0;".";-1.32966956768905;0.734205902343447;50;"main00147"
22;"TypeI";4;0.75;"half.noise";0.125;"gen.MVNX";0;".";-2.29054000256571;0.714176503176517;3;"main00148"
22;"TypeI";4;0.75;"half.noise";0.125;"gen.MVNX";0;".";-2.29054000256571;0.714176503176517;5;"main00149"
22;"TypeI";4;0.75;"half.noise";0.125;"gen.MVNX";0;".";-2.29054000256571;0.714176503176517;10;"main00150"
22;"TypeI";4;0.75;"half.noise";0.125;"gen.MVNX";0;".";-2.29054000256571;0.714176503176517;15;"main00151"
22;"TypeI";4;0.75;"half.noise";0.125;"gen.MVNX";0;".";-2.29054000256571;0.714176503176517;20;"main00152"
